iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
171,0,0.020119,0.702814,0.057650,0.001163,0.761627,9.476109,15.496779,30.351359,0.235443,0.363101,0.031454,4.335484,4.953009
172,0,0.022477,0.622940,0.066613,0.001193,0.690746,8.614493,14.910756,29.787234,0.240498,0.289829,0.041473,5.293613,5.531304
173,0,0.021922,0.751864,0.077790,0.001526,0.795081,8.317744,15.526075,29.214591,0.264626,0.482600,0.043892,4.214894,4.908275
174,0,0.054548,0.693176,0.099337,0.006223,0.798736,7.371170,15.726051,30.542382,0.322017,0.355320,0.085446,6.254222,6.990784
175,0,0.019486,0.770528,0.100023,0.001068,0.871619,7.225043,15.462563,29.665786,0.232684,0.448035,0.057867,5.810015,6.539681
176,0,0.020190,0.744665,0.052296,0.001079,0.797251,8.011118,15.603377,30.391680,0.208321,0.212091,0.012169,5.723404,6.148595
177,0,0.027607,0.605563,0.042572,0.001097,0.643925,9.106813,16.660362,31.594579,0.200150,0.134861,0.006024,4.918656,5.249689
178,0,0.024459,1.012994,0.073598,0.001567,1.079600,6.207442,15.646030,29.689572,0.272354,0.593291,0.044759,6.428251,6.883425
179,0,0.019220,0.969754,0.073452,0.001724,1.044930,9.280785,15.802807,30.860082,0.170750,0.615029,0.040334,4.489261,5.311307
180,0,0.032557,1.149706,0.178593,0.003146,1.331191,6.852802,15.567529,29.734477,0.429922,0.699681,0.137881,5.506166,6.071010
181,0,0.022589,0.762013,0.086914,0.002390,0.836996,8.917513,15.605162,30.319736,0.256916,0.354083,0.044725,4.636148,4.955100
182,0,0.022222,1.017436,0.067130,0.001255,1.085761,6.065797,16.411740,30.186077,0.325166,0.641308,0.022815,6.227382,7.204258
183,0,0.026527,0.845325,0.090588,0.001373,0.937286,5.581745,16.102257,29.608441,0.284255,0.435722,0.063332,6.643644,6.940635
184,0,0.022444,1.312417,0.114768,0.002491,1.382250,4.709748,15.112342,30.345452,0.439327,0.959528,0.073326,8.527258,9.685682
185,0,0.024671,0.919858,0.079756,0.001950,1.001564,6.536863,16.539206,30.255972,0.285613,0.387704,0.045450,5.834877,6.121745
186,0,0.028219,0.865985,0.087403,0.002494,0.927652,6.513523,15.568227,29.748783,0.282734,0.368213,0.047961,6.334406,6.670646
